Approximate,Exact,RelError
38165.79131,38389.25584,5.821018E-003
38167.81302,38391.27907,5.820750E-003
38170.78357,38394.23080,5.819813E-003
38175.49823,38398.86688,5.817064E-003
38181.60270,38404.76331,5.810753E-003
38188.60063,38411.32591,5.798427E-003
38195.85414,38417.79054,5.776917E-003
38202.58279,38423.22314,5.742370E-003
38207.86485,38426.52000,5.690215E-003
38210.63701,38426.40833,5.615183E-003
38209.69537,38421.44728,5.511295E-003
38203.69554,38410.02965,5.371881E-003
38191.15511,38390.38433,5.189560E-003
38170.45593,38360.57980,4.956230E-003
38139.84647,38318.52890,4.663082E-003
38097.44595,38261.99497,4.300586E-003
38041.25056,38188.59980,3.858461E-003
37969.13735,38095.83352,3.325722E-003
37878.87522,37981.06680,2.690593E-003
37768.13285,37841.56547,1.940528E-003
37634.49036,37674.50797,1.062193E-003
37475.45403,37477.00582,4.140640E-005
37288.47237,37246.12724,1.136900E-003
37070.95420,36978.92416,2.488716E-003
36820.29070,36672.46267,4.031036E-003
36533.88102,36323.85699,5.781986E-003
36209.15927,35930.30677,7.760927E-003
35843.62613,35489.13769,9.988646E-003
35434.88425,34997.84494,1.248761E-002
34980.69067,34454.13923,1.528268E-002
34464.58589,33855.99474,1.797588E-002
33888.05767,33201.69842,2.067241E-002
33258.01947,32489.89988,2.364180E-002
32573.85145,31719.66106,2.692937E-002
31835.03207,30890.50503,3.057661E-002
31024.34527,30002.46315,3.405994E-002
30115.67035,29056.12023,3.646564E-002
29147.49922,28052.65740,3.902810E-002
28125.12113,26993.89311,4.190681E-002
26930.70401,25882.32340,4.050566E-002
25645.70510,24721.16542,3.739871E-002
24251.61295,23515.14723,3.131878E-002
22203.39709,22023.55352,8.165965E-003
20176.71486,20466.99168,1.418268E-002
18783.00468,18896.82239,6.023114E-003
17400.17144,17323.93412,4.400693E-003
16003.96832,15759.90171,1.548656E-002
14583.63928,14216.83355,2.580080E-002
13146.31411,12707.16474,3.455919E-002
11696.74062,11243.40119,4.032049E-002
10200.44773,9837.82503,3.686005E-002
8382.68347,8485.60304,1.212873E-002
7022.02252,7083.90183,8.735202E-003
5846.96079,5809.91811,6.375766E-003
4766.52948,4670.43142,2.057584E-002
3782.46703,3668.11328,3.117509E-002
2876.90451,2802.47117,2.655990E-002
2029.94094,2070.42879,1.955530E-002
1424.06718,1427.94802,2.717773E-003
936.64815,923.95067,1.374260E-002
