Approximate,Exact,RelError
0.00187E-8,0.00147E-8,2.706019E-001
0.00191E-8,0.00150E-8,2.728576E-001
0.00202E-8,0.00158E-8,2.788699E-001
0.00220E-8,0.00171E-8,2.867106E-001
0.00245E-8,0.00189E-8,2.936425E-001
0.00277E-8,0.00214E-8,2.972920E-001
0.00316E-8,0.00244E-8,2.963755E-001
0.00361E-8,0.00280E-8,2.906642E-001
0.00413E-8,0.00322E-8,2.805718E-001
0.00471E-8,0.00372E-8,2.667592E-001
0.00537E-8,0.00430E-8,2.498926E-001
0.00610E-8,0.00496E-8,2.305305E-001
0.00691E-8,0.00572E-8,2.091022E-001
0.00781E-8,0.00659E-8,1.859209E-001
0.00881E-8,0.00758E-8,1.612155E-001
0.00991E-8,0.00873E-8,1.351682E-001
0.01113E-8,0.01004E-8,1.079433E-001
0.01249E-8,0.01157E-8,7.971840E-002
0.01401E-8,0.01334E-8,5.070782E-002
0.01573E-8,0.01540E-8,2.117667E-002
0.01767E-8,0.01782E-8,8.543745E-003
0.01988E-8,0.02066E-8,3.805547E-002
0.02241E-8,0.02402E-8,6.688974E-002
0.02536E-8,0.02800E-8,9.452047E-002
0.02880E-8,0.03274E-8,1.203736E-001
0.03286E-8,0.03838E-8,1.438449E-001
0.03770E-8,0.04511E-8,1.643230E-001
0.04352E-8,0.05316E-8,1.812104E-001
0.05059E-8,0.06277E-8,1.939503E-001
0.05924E-8,0.07423E-8,2.020505E-001
0.06987E-8,0.08790E-8,2.051533E-001
0.08299E-8,0.10415E-8,2.031875E-001
0.09920E-8,0.12340E-8,1.960748E-001
0.11924E-8,0.14612E-8,1.838992E-001
0.14395E-8,0.17279E-8,1.669069E-001
0.17427E-8,0.20395E-8,1.454937E-001
0.21111E-8,0.24010E-8,1.207311E-001
0.25541E-8,0.28174E-8,9.343932E-002
0.30818E-8,0.32933E-8,6.422501E-002
0.37014E-8,0.38325E-8,3.420303E-002
0.44122E-8,0.44376E-8,5.732973E-003
0.52157E-8,0.51098E-8,2.073516E-002
0.60665E-8,0.58481E-8,3.734137E-002
0.69001E-8,0.66495E-8,3.768642E-002
0.77237E-8,0.74912E-8,3.103375E-002
0.85838E-8,0.83533E-8,2.760456E-002
0.94651E-8,0.92175E-8,2.685438E-002
1.03492E-8,1.00642E-8,2.832009E-002
1.12171E-8,1.08726E-8,3.168864E-002
1.20410E-8,1.16219E-8,3.606490E-002
1.27842E-8,1.22927E-8,3.998587E-002
1.33662E-8,1.28675E-8,3.875505E-002
1.37351E-8,1.33320E-8,3.023063E-002
1.39906E-8,1.36504E-8,2.492195E-002
1.41233E-8,1.38138E-8,2.240596E-002
1.41256E-8,1.38242E-8,2.180311E-002
1.39874E-8,1.36877E-8,2.189690E-002
1.36652E-8,1.34135E-8,1.876249E-002
1.32162E-8,1.30123E-8,1.566307E-002
1.26636E-8,1.24846E-8,1.433530E-002
